county_number,County,FIPS,,
1,Anderson,48001,,
2,Andrews,48003,,
3,Angelina,48005,,
4,Aransas,48007,,
5,Archer,48009,,
6,Armstrong,48011,,
7,Atascosa,48013,,
8,Austin,48015,,
9,Bailey,48017,,
10,Bandera,48019,,
11,Bastrop,48021,,
12,Baylor,48023,,
13,Bee,48025,,
14,Bell,48027,,
15,Bexar,48029,,
16,Blanco,48031,,
17,Borden,48033,,
18,Bosque,48035,,
19,Bowie,48037,,
20,Brazoria,48039,,
21,Brazos,48041,,
22,Brewster,48043,,
23,Briscoe,48045,,
24,Brooks,48047,,
25,Brown,48049,,
26,Burleson,48051,,
27,Burnet,48053,,
28,Caldwell,48055,,
29,Calhoun,48057,,
30,Callahan,48059,,
31,Cameron,48061,,
32,Camp,48063,,
33,Carson,48065,,
34,Cass,48067,,
35,Castro,48069,,
36,Chambers,48071,,
37,Cherokee,48073,,
38,Childress,48075,,
39,Clay,48077,,
40,Cochran,48079,,
41,Coke,48081,,
42,Coleman,48083,,
43,Collin,48085,,
44,Collingsworth,48087,,
45,Colorado,48089,,
46,Comal,48091,,
47,Comanche,48093,,
48,Concho,48095,,
49,Cooke,48097,,
50,Coryell,48099,,
51,Cottle,48101,,
52,Crane,48103,,
53,Crockett,48105,,
54,Crosby,48107,,
55,Culberson,48109,,
56,Dallam,48111,,
57,Dallas,48113,,
58,Dawson,48115,,
59,Deaf Smith,48117,,
60,Delta,48119,,
61,Denton,48121,,
62,DeWitt,48123,,
63,Dickens,48125,,
64,Dimmit,48127,,
65,Donley,48129,,
66,Duval,48131,,
67,Eastland,48133,,
68,Ector,48135,,
69,Edwards,48137,,
70,Ellis,48139,,
71,El Paso,48141,,
72,Erath,48143,,
73,Falls,48145,,
74,Fannin,48147,,
75,Fayette,48149,,
76,Fisher,48151,,
77,Floyd,48153,,
78,Foard,48155,,
79,Fort Bend,48157,,
80,Franklin,48159,,
81,Freestone,48161,,
82,Frio,48163,,
83,Gaines,48165,,
84,Galveston,48167,,
85,Garza,48169,,
86,Gillespie,48171,,
87,Glasscock,48173,,
88,Goliad,48175,,
89,Gonzales,48177,,
90,Gray,48179,,
91,Grayson,48181,,
92,Gregg,48183,,
93,Grimes,48185,,
94,Guadalupe,48187,,
95,Hale,48189,,
96,Hall,48191,,
97,Hamilton,48193,,
98,Hansford,48195,,
99,Hardeman,48197,,
100,Hardin,48199,,
101,Harris,48201,,
102,Harrison,48203,,
103,Hartley,48205,,
104,Haskell,48207,,
105,Hays,48209,,
106,Hemphill,48211,,
107,Henderson,48213,,
108,Hidalgo,48215,,
109,Hill,48217,,
110,Hockley,48219,,
111,Hood,48221,,
112,Hopkins,48223,,
113,Houston,48225,,
114,Howard,48227,,
115,Hudspeth,48229,,
116,Hunt,48231,,
117,Hutchinson,48233,,
118,Irion,48235,,
119,Jack,48237,,
120,Jackson,48239,,
121,Jasper,48241,,
122,Jeff Davis,48243,,
123,Jefferson,48245,,
124,Jim Hogg,48247,,
125,Jim Wells,48249,,
126,Johnson,48251,,
127,Jones,48253,,
128,Karnes,48255,,
129,Kaufman,48257,,
130,Kendall,48259,,
131,Kenedy,48261,,
132,Kent,48263,,
133,Kerr,48265,,
134,Kimble,48267,,
135,King,48269,,
136,Kinney,48271,,
137,Kleberg,48273,,
138,Knox,48275,,
139,Lamar,48277,,
140,Lamb,48279,,
141,Lampasas,48281,,
142,La Salle,48283,,
143,Lavaca,48285,,
144,Lee,48287,,
145,Leon,48289,,
146,Liberty,48291,,
147,Limestone,48293,,
148,Lipscomb,48295,,
149,Live Oak,48297,,
150,Llano,48299,,
151,Loving,48301,,
152,Lubbock,48303,,
153,Lynn,48305,,
154,McCulloch,48307,,
155,McLennan,48309,,
156,McMullen,48311,,
157,Madison,48313,,
158,Marion,48315,,
159,Martin,48317,,
160,Mason,48319,,
161,Matagorda,48321,,
162,Maverick,48323,,
163,Medina,48325,,
164,Menard,48327,,
165,Midland,48329,,
166,Milam,48331,,
167,Mills,48333,,
168,Mitchell,48335,,
169,Montague,48337,,
170,Montgomery,48339,,
171,Moore,48341,,
172,Morris,48343,,
173,Motley,48345,,
174,Nacogdoches,48347,,
175,Navarro,48349,,
176,Newton,48351,,
177,Nolan,48353,,
178,Nueces,48355,,
179,Ochiltree,48357,,
180,Oldham,48359,,
181,Orange,48361,,
182,Palo Pinto,48363,,
183,Panola,48365,,
184,Parker,48367,,
185,Parmer,48369,,
186,Pecos,48371,,
187,Polk,48373,,
188,Potter,48375,,
189,Presidio,48377,,
190,Rains,48379,,
191,Randall,48381,,
192,Reagan,48383,,
193,Real,48385,,
194,Red River,48387,,
195,Reeves,48389,,
196,Refugio,48391,,
197,Roberts,48393,,
198,Robertson,48395,,
199,Rockwall,48397,,
200,Runnels,48399,,
201,Rusk,48401,,
202,Sabine,48403,,
203,San Augustine,48405,,
204,San Jacinto,48407,,
205,San Patricio,48409,,
206,San Saba,48411,,
207,Schleicher,48413,,
208,Scurry,48415,,
209,Shackelford,48417,,
210,Shelby,48419,,
211,Sherman,48421,,
212,Smith,48423,,
213,Somervell,48425,,
214,Starr,48427,,
215,Stephens,48429,,
216,Sterling,48431,,
217,Stonewall,48433,,
218,Sutton,48435,,
219,Swisher,48437,,
220,Tarrant,48439,,
221,Taylor,48441,,
222,Terrell,48443,,
223,Terry,48445,,
224,Throckmorton,48447,,
225,Titus,48449,,
226,Tom Green,48451,,
227,Travis,48453,,
228,Trinity,48455,,
229,Tyler,48457,,
230,Upshur,48459,,
231,Upton,48461,,
232,Uvalde,48463,,
233,Val Verde,48465,,
234,Van Zandt,48467,,
235,Victoria,48469,,
236,Walker,48471,,
237,Waller,48473,,
238,Ward,48475,,
239,Washington,48477,,
240,Webb,48479,,
241,Wharton,48481,,
242,Wheeler,48483,,
243,Wichita,48485,,
244,Wilbarger,48487,,
245,Willacy,48489,,
246,Williamson,48491,,
247,Wilson,48493,,
248,Winkler,48495,,
249,Wise,48497,,
250,Wood,48499,,
251,Yoakum,48501,,
252,Young,48503,,
253,Zapata,48505,,
254,Zavala,48507,,