name,bus,generator,storage_type,energy_capacity,initial_state_of_charge,end_state_of_charge,minimum_state_of_charge,charge_efficiency,discharge_efficiency,max_discharge_rate,min_discharge_rate,max_charge_rate,min_charge_rate,initial_charge_rate,initial_discharge_rate,charge_cost,discharge_cost,retention_rate_60min,ramp_up_input_60min,ramp_down_input_60min,ramp_up_output_60min,ramp_down_output_60min,in_service,capital_multiplier,extension_multiplier,investment_cost,investment_cost_kwh
100MW_400MWh_1,3,None,'battery',400,320,320,80,1,1,100,10,400,1,0,0,175,0,1,400,400,100,100,FALSE,1,1,1490.89,372.7225
100MW_800MWh-1,3,None,'battery',800,640,640,160,1,1,100,10,800,1,0,0,175,0,1,800,800,100,100,FALSE,1,1,2823.31,352.91375
1000MW_2000MWh_1-c,3,None,'battery',2000,1600,1600,400,1,1,1000,100,2000,1,0,0,175,0,1,2000,2000,1000,1000,FALSE,1,1,787.51,393.755
1000MW_4000MWh_1-c,3,None,'battery',4000,3200,3200,800,1,1,1000,100,4000,1,0,0,175,0,1,4000,4000,1000,1000,FALSE,1,1,1406.11,351.5275
100MW_400MWh_2-c,1,None,'battery',400,320,320,80,1,1,100,10,400,1,0,0,175,0,1,400,400,100,100,FALSE,1,1,1490.89,372.7225
100MW_800MWh_2-c,1,None,'battery',800,640,640,160,1,1,100,10,800,1,0,0,175,0,1,800,800,100,100,FALSE,1,1,2823.31,352.91375
1000MW_2000MWh_2-c,1,None,'battery',2000,1600,1600,400,1,1,1000,100,2000,1,0,0,175,0,1,2000,2000,1000,1000,FALSE,1,1,787.51,393.755
1000MW_4000MWh_2-c,1,None,'battery',4000,3200,3200,800,1,1,1000,100,4000,1,0,0,175,0,1,4000,4000,1000,1000,FALSE,1,1,1406.11,351.5275
100MW_400MWh_3-c,2,None,'battery',400,320,320,80,1,1,100,10,400,1,0,0,175,0,1,400,400,100,100,FALSE,1,1,1490.89,372.7225
100MW_800MWh_3-c,2,None,'battery',800,640,640,160,1,1,100,10,800,1,0,0,175,0,1,800,800,100,100,FALSE,1,1,2823.31,352.91375
1000MW_2000MWh_3-c,2,None,'battery',2000,1600,1600,400,1,1,1000,100,2000,1,0,0,175,0,1,2000,2000,1000,1000,FALSE,1,1,787.51,393.755
1000MW_4000MWh_3-c,2,None,'battery',4000,3200,3200,800,1,1,1000,100,4000,1,0,0,175,0,1,4000,4000,1000,1000,FALSE,1,1,1406.11,351.5275